Pathway,nGenesMapped,nGenesUsed,nSamples,ObservedP,empiricalP,Genes
493989_GO:0009895_negative_regulation_of_catabolic_process,243,221,1000000,3.17881178818416e-41,9.99999000001e-07,PARK7_DFFA_MAD2L2_RCC2_PINK1_KDM4A_STIL_LEPR_PTPN22_UBQLN4_APOA2_QSOX1_TPR_TNNT2_ATP2B4_MDM4_YOD1_CENPF_EGLN1_FMN2_NBAS_ATRAID_FEZ2_LRPPRC_ERLEC1_PDCL3_BUB1_ANAPC1_IL1B_DAPL1_SERPINE2_HTR2B_SH3BP4_HDAC4_ATG7_TIMP4_UBE2E1_KLHL40_SMARCC1_USP19_PXK_FHIT_LAMP3_TBC1D14_CPEB2_PPARGC1A_ANAPC4_SNCA_MAD2L1_ANAPC10_DAP_PRKAA1_GZMA_TAF9_APC_CDC23_ADRA1B_PRELID1_GPLD1_HFE_ZKSCAN3_IER3_BAG6_RNF5_HSP90AB1_TTK_CNR1_UBE2J1_SNX3_FYN_PLN_TAB2_FBXO5_KIF25_MAD1L1_EGFR_HGF_PIK3CG_MET_LEP_GIMAP5_SHH_PTPRN2_USP17L2_LZTS1_CCAR2_PBK_NRG1_SDCBP_ARFGEF1_TERF1_FBXO43_PABPC1_AZIN1_NRBP2_RRAGA_CDKN2A_RGP1_UBQLN1_SECISBP2_FBP1_PTPN3_CDC26_DAB2IP_GOLGA2_TSC1_ANAPC2_WAC_UBE2D1_DDIT4_PPIF_SUFU_ADRA2A_BUB3_HRAS_INS_PDE3B_NELL1_SVIP_BSCL2_ARL2_RELA_ACTN3_ANAPC15_MTMR2_ATM_ZW10_APOC3_FEZ1_METTL20_LRRK2_SENP1_WNT1_AGAP2_IRAK3_USP44_FICD_ACACB_ANAPC7_ANAPC5_HCAR2_TMED2_FZD10_MYCBP2_SPRY2_UBAC2_CDC16_OXA1L_CHMP4A_SCFD1_PSEN1_SLIRP_BAG5_AKT1_BUB1B_ANXA2_HERC1_SMAD3_PML_FURIN_PAM16_GRIN2A_PLK1_CLN3_N4BP1_MT3_CSNK2A2_SF3B3_HP_GABARAPL2_BANP_CBFA2T3_RILP_ARRB2_DERL2_TP53_MAPK7_NOS2_ZNF207_STAT3_CDC27_CDK5RAP3_PHB_TOB1_TEX14_BCAS3_TLK2_GRIN2C_TIMP2_ANAPC11_USP14_ADCYAP1_PSMG2_NPC1_SMAD4_SERPINB12_PLIN5_PIN1_GIPC1_GMIP_SIRT2_GSK3A_APOC1_DHX34_SNRNP70_PRKCG_TNNI3_CSNK2A1_PSMF1_CST3_BCL2L1_CHMP4B_UBE2C_USP25_UBE2G2_KLHL22_DERL3_MTMR3_TIMP3_TSPO_PPARA
920974_WP1533_Vitamin_B12_Metabolism,19,16,1000000,1.52789276857528e-14,2.999997000003e-06,MTHFR_SOD3_MTRR_ABCA1_NFKB2_INS_HBB_SAA1_TCN1_RELA_APOA1_SCARB1_CCL5_MPO_APOE_SOD1
510653_GO:0048592_eye_morphogenesis,152,143,500000,2.18136451122503e-28,3.999992000016e-05,SKI_CASZ1_MFN2_EPHA2_MFAP2_EPHB2_ARID1A_PHACTR4_COL8A2_FOXE3_RPE65_BCAR3_OLFM3_GNAT2_WNT2B_HIPK1_NOTCH2_FASLG_CRB1_PROX1_WNT9A_SOX11_SIX3_EFEMP1_MEIS1_VAX2_CNGA3_SP3_COL5A2_CRYGB_IHH_RARB_SLC4A7_CTNNB1_GNAT1_WNT5A_CCDC66_ARL6_COL8A1_PVRL3_IFT122_EPHB1_PPP2R3A_FOXL2_PRKCI_SOX2_FGFR3_PROM1_KDR_PITX2_TENM3_NIPBL_HCN1_MAN2A1_FBN2_TFAP2A_BAK1_TULP1_VEGFA_TFAP2B_PRDM1_AHI1_CITED2_DLL1_SDK1_TWIST1_AQP1_GLI3_IKZF1_GNGT1_WNT2_WNT16_PTN_HIPK2_RP1_CALB1_TOPORS_RORB_NTRK2_AGTPBP1_TDRD7_COL5A1_PTF1A_ZEB1_PDE6C_PAX2_PITX3_TH_PAX6_FJX1_ROM1_CABP4_LRP5_MYO7A_PVRL1_CDON_LRP6_AQP5_SP1_GDF11_FRS2_CEP290_FOXN4_KDM2B_ATP8A2_SOX1_GRK1_RPGRIP1_NRL_BMP4_OTX2_HIF1A_VSX2_TTC8_YY1_TRPM1_FBN1_MEGF11_NR2E3_BBS4_STRA6_ALDH1A3_AXIN1_SOX8_NKD1_IRX5_NF1_LHX1_NAGLU_TBX2_SOX9_SDK2_FSCN2_PTPRM_BAX_RDH13_TBC1D20_JAG1_VSX1_BMP7_BHLHE23_HMGN1_DSCAM
507548_GO:0045165_cell_fate_commitment,251,224,500000,7.60406143286162e-36,7.5999848000304e-05,HES5_CHD5_CASZ1_PAX7_WNT4_PTCH2_TAL1_DMRTA2_DOCK7_BARHL2_GFI1_WNT2B_HIPK1_NOTCH2_MCL1_RORC_LY9_TBX19_PRRX1_CDC73_MYOG_PROX1_TGFB2_PSEN2_WNT3A_ID2_GDF7_RAB10_SIX2_EPAS1_CYP26B1_GLI2_ACVR1_TBR1_DLX2_HOXD10_NEUROD1_SATB2_FZD5_ERBB4_IHH_PAX3_PPARG_WNT7A_EOMES_CTNNB1_WNT5A_FEZF2_MITF_POU1F1_GAP43_GATA2_SOX2_HES1_FGFR3_RBPJ_GSX2_KDR_NKX6-1_ATOH1_NEUROG2_SPRY1_SMAD1_CASP3_GDNF_FGF10_ISL1_MEF2C_APC_IL4_PITX1_NEUROG1_SMAD5_WNT8A_FGF1_TLX3_NKX2-5_TRIM15_POU5F1_NOTCH4_TEAD3_GCM1_PRDM1_NR2E1_HEY2_OLIG3_LATS1_DLL1_IL6_EVX1_POU6F2_GLI3_IFRD1_WNT2_WNT16_SMO_HIPK2_GBX1_SHH_MNX1_GATA4_EBF2_NRG1_FGFR1_NKX6-3_PRKDC_C8orf22_SOX17_PRDM14_EYA1_IL7_TRPS1_DMRT3_GAS1_ROR2_PTCH1_TGFBR1_KLF4_LHX6_NOTCH1_GATA3_PTF1A_NRP1_NODAL_LBX1_FGF8_SUFU_TCF7L2_FGFR2_NKX6-2_CTR9_SOX6_MYOD1_DBX1_PAX6_WT1_ELF5_RAG2_FGF3_WNT11_TENM4_DSCAML1_CDON_WNT5B_NTF3_WNT1_HOXC10_NEUROD4_SMARCC2_STAT6_FRS2_MYF5_ASCL1_FOXN4_MYL2_TBX3_LATS2_GSX1_POU4F1_SPRY2_SOX1_NKX2-1_FOXA1_BMP4_OTX2_SIX1_PSEN1_VSX2_BATF_GSC_BCL11B_JAG2_RTF1_LEO1_ONECUT1_RORA_PML_ISL2_NTRK3_MESP1_NR2F2_AXIN1_SOX8_TBX6_TGFB1I1_SALL1_FOXC2_ZFPM1_KDM6B_FOXN1_HNF1B_C17orf96_RARA_WNT9B_TBX2_SOX9_GATA6_ZNF521_SMAD2_SMAD4_ONECUT2_BCL2_NOTCH3_FKBP8_ETV2_PAF1_NTF4_SOX12_BMP2_JAG1_NKX2-2_FOXA2_FOXS1_EYA2_CEBPB_TFAP2C_GATA5_PPDPF_SOX18_OLIG1_RUNX1_ETS2_TBX1_WNT7B
496218_GO:0016125_sterol_metabolic_process,121,107,500000,2.44054926060733e-23,8.999982000036e-05,CELA3A_LDLRAP1_NR0B2_PCSK9_PRKAA2_ANGPTL3_LEPR_HMGCS2_FDPS_APOA2_HSD17B7_TNFSF4_SOAT1_CYB5R1_LBR_ARV1_GGPS1_APOB_SNX17_CYP1B1_INSIG2_CYP27A1_HDLBP_CYP8B1_SCAP_CNBP_MSMO1_CYP4V2_PRKAA1_HMGCS1_HMGCR_IL4_PPARD_TRERF1_CYP39A1_NPC1L1_CYP51A1_PON1_CFTR_LEP_AKR1D1_PRKAG2_INSIG1_CLN8_FDFT1_STAR_CYP7A1_CYP7B1_SQLE_CYP11B2_VLDLR_ABCA1_CEL_RXRA_IDI1_CUBN_LIPA_ERLIN1_CYP17A1_OSBPL5_CYB5R2_CAT_TM7SF2_LRP5_DHCR7_FDX1_APOA1_SORL1_APLP2_SOAT2_APOF_MVK_SCARB1_EBPL_NPC2_C14orf1_CYP46A1_CYP19A1_LIPC_CLN6_CYP11A1_APOBR_CETP_LCAT_MBTPS1_MVD_SCARF1_SREBF1_STARD3_ACLY_PCTP_FDXR_NPC1_OSBPL1A_ACAA2_FECH_FDX1L_LDLR_CEBPA_LIPE_APOC1_APP_ABCG1_LSS_APOL1_SREBF2_CYB5R3
507550_GO:0045168_cell-cell_signaling_involved_in_cell_fate_commitment,31,31,100000,2.9217554108075e-14,0.000109998900011,WNT4_WNT2B_HIPK1_SIX3_HOXD11_FZD5_CTNNB1_HES1_SPRY1_GDNF_FGF10_FGF1_POU5F1_DLL1_HOXA11_WNT2_HIPK2_FGFR1_FGF8_FGF3_WNT1_HOXC11_FRS2_NKX2-1_BMP4_SIX1_SOX8_SALL1_WNT3_SOX9_BMP2
983710_GO:1902991_regulation_of_amyloid_precursor_protein_catabolic_process,11,11,100000,5.08388794884747e-11,0.000109998900011,GSAP_CLU_OLFM1_LRRTM3_PICALM_SORL1_TMED10_FLOT2_HAP1_APOE_FKBP1A
1269514_R-HSA-5625900_RHO_GTPases_activate_CIT,16,16,100000,1.79940630878759e-11,0.000129998700013,RHOC_KIF14_RHOB_RHOA_RAC1_CDKN1B_MYL6_CIT_PRC1_MYH11_DLG4_MYH10_MYL12B_MYH14_MYL9_MYH9
1026080_GO:1903308_regulation_of_chromatin_modification,150,139,100000,2.78202186730817e-26,0.000159998400016,NOC2L_SKI_MTHFR_PAX7_KDM1A_KDM4A_MIER1_GFI1_MTF2_SETDB1_CHTOP_MUC1_TPR_LPIN1_ATAD2B_ASXL2_UCN_KDM3A_ARID5A_IL1B_IWS1_GCG_TRIP12_TADA3_ATG7_KAT2B_CTNNB1_DPPA2_GATA2_BCL6_CTBP1_NELFA_TADA2B_PPARGC1A_SNCA_CAMK2D_SETD7_NIPBL_ISL1_CCNB1_UBE2B_H2AFY_TAF7_MSX2_NSD1_JARID2_HIST1H1B_POU5F1_NELFE_PHF1_HMGA1_C6orf89_VEGFA_ZNF451_ATG5_ASF1A_MYB_TWIST1_AUTS2_ZNHIT1_PAXIP1_USP17L2_PIWIL2_SNAI2_UBR5_TRPS1_ATAD2_UHRF2_PAX5_PHF2_RNF20_PHF19_CDK9_SET_PRDM12_GFI1B_GATA3_MAPK8_SIRT1_TET1_CTR9_SPI1_MEN1_KDM2A_ARRB1_EED_KDM4E_ATM_KMT2A_CHEK1_KDM5A_RAPGEF3_UBE2N_SART3_NOS1_PRKD1_JDP2_SNW1_RPS6KA5_RTF1_EID1_PML_SIN3A_WDR61_MAPK3_RNF40_BRD7_CTCF_TP53_MYOCD_NCOR1_FLCN_SREBF1_SUPT6H_TADA2A_KAT2A_BRCA1_HDAC5_WBP2_SMAD4_KDM4B_DNMT1_AKAP8L_KMT2B_PAF1_DMRTC2_PRKD2_PIH1D1_ZNF304_TRIM28_DNMT3B_ZNF335_CTCFL_PAXBP1_CDC45_SMARCB1_XBP1_LIF_EP300
487655_GO:0001759_organ_induction,18,18,100000,6.58808555772351e-12,0.000159998400016,WNT2B_HOXD11_CTNNB1_SPRY1_GDNF_FGF10_FGF1_POU5F1_HOXA11_WNT2_FGFR1_FGF8_FGF3_HOXC11_FRS2_BMP4_SIX1_BMP2
