id.exposure;method;b;pval;Z;exposure;FDR;signific
ukb-b-2303;MR Egger;0.309833409693829;0.0315775722084828;2.14971743852547;BMI;0.505241155335725;.
ukb-b-2303;Weighted median;0.405638578205043;1.1104430492267e-08;5.71293468958687;BMI;4.4417721969068e-07;*
ukb-b-2303;Inverse variance weighted;0.457189266363002;1.89472841903713e-17;8.50007218178853;BMI;1.51578273522971e-15;*
ukb-b-2303;Simple mode;0.591532633852203;0.0205394597875431;2.3163446222108;BMI;0.410789195750863;.
ukb-b-2303;Weighted mode;0.569171174094636;0.000936688993437494;3.30888321619855;BMI;0.0249783731583332;*
ukb-b-10787;MR Egger;0.0416921068044662;0.621794343310675;0.493308896371039;Height;1;""
ukb-b-10787;Weighted median;-0.00628241292941941;0.915553548102284;-0.106036304020449;Height;1;""
ukb-b-10787;Inverse variance weighted;-0.078359273489587;0.0593161179537431;-1.88584297428222;Height;1;""
ukb-b-10787;Simple mode;0.163785205520681;0.36046170173041;0.914485674822965;Height;1;""
ukb-b-10787;Weighted mode;0.0703860459130405;0.576481131470953;0.558532041007883;Height;1;""
ukb-b-9405;MR Egger;0.566551312503649;0.00440760314842989;2.84741378204044;Waist circumference;0.0881520629685978;.
ukb-b-9405;Weighted median;0.514290590195662;5.85922744447723e-09;5.82072680400854;Waist circumference;2.34369097779089e-07;*
ukb-b-9405;Inverse variance weighted;0.541397326809266;6.0532161295453e-15;7.8028339816351;Waist circumference;4.84257290363624e-13;*
ukb-b-9405;Simple mode;0.632092114417644;0.0259072550471004;2.22759918534238;Waist circumference;0.414516080753607;.
ukb-b-9405;Weighted mode;0.654950088354522;0.00026414010519523;3.64814544112017;Waist circumference;0.00704373613853946;*
ieu-b-73;MR Egger;0.598844192302562;0.24014843142975;1.17461586942255;Alcohol;1;""
ieu-b-73;Weighted median;-0.0416881854956531;0.879162643790701;-0.152030799148459;Alcohol;1;""
ieu-b-73;Inverse variance weighted;0.167984120759;0.430250028635359;0.78876387235091;Alcohol;1;""
ieu-b-73;Simple mode;0.245290700592027;0.684489579229481;0.406344382341309;Alcohol;1;""
ieu-b-73;Weighted mode;-0.128926622502089;0.712291906749947;-0.368779740444397;Alcohol;1;""
ukb-b-223;MR Egger;-1.19929289643869;0.57356721213586;-0.56280567999252;Smoking;1;""
ukb-b-223;Weighted median;-0.494331825880082;0.368041394704108;-0.900148187936619;Smoking;1;""
ukb-b-223;Inverse variance weighted;-0.129699194771799;0.810492126011767;-0.239791204315635;Smoking;1;""
ukb-b-223;Simple mode;-1.36292259980484;0.31115223394488;-1.01280725652779;Smoking;1;""
ukb-b-223;Weighted mode;-1.2783703067028;0.190932288160861;-1.30782613328885;Smoking;1;""
ukb-b-4630;MR Egger;-0.00451017584372225;0.981360589777095;-0.0233631615838295;Neuroticism;1;""
ukb-b-4630;Weighted median;0.0218866775994868;0.624056555586834;0.490109302734665;Neuroticism;1;""
ukb-b-4630;Inverse variance weighted;0.020873550977897;0.572002890713323;0.565104201801532;Neuroticism;1;""
ukb-b-4630;Simple mode;0.204557084979101;0.113366985190485;1.58323906704534;Neuroticism;1;""
