ukbb20003;n
vitamin e product [ctsu];18
chondroitin product;6512
co-enzyme q10/ubiquinone/bio-quinone/coenzyme q10;1886
indigestion remedy (over the counter);15
omega-3/fish oil supplement;19914
vitamin c product;1502
evening primrose oil product;1133
food supplement/plant/herbal extract;1860
st john's wort/hypericum [ctsu];899
aloe vera product;508
saw palmetto product;588
unknown supplement;6
Free-text entry, unable to be coded;30702
aludrox gel;0
dijex liquid;0
diovol fruit flavour suspension;0
droxalin tablet;1
dynese orange flavour suspension;0
gastrils 500mg green (mint) pastille;1
gastrils 500mg yellow (fruit) pastille;0
gelusil tablet;0
malinal 500mg/5ml suspension;1
mucogel tablet;5
phazyme tablet;0
polyalk suspension;0
alexitol sodium 360mg tablet;0
almasilate 500mg/5ml suspension;0
actal 360mg/5ml suspension;3
altacaps 500mg tablet;0
andursil suspension;0
antasil liquid;0
prodexin tablet;0
siloxyl suspension;0
simeco suspension;0
unigest tablet;0
peptard 0.2mg tablet;2
kolantyl gel;0
robinul 2mg tablet;0
piperidolate hydrochloride;0
dactil 50mg tablet;0
colven 135mg granules;0
app stomach tablet;2
cantil+phenobarbitone tablet;0
emetrol solution;0
libraxin tablet;0
nulacin tablet;0
roter tablet;0
titralac tablet;0
eumydrin 0.6% solution;1
aluminium hydroxide+belladonna mixture;0
belladonna paediatric 0.05mg/5ml liquid;2
magnesium trisilicate+belladonna 0.15mg tablet;3
alka-donna tablet;0
aluhyde tablet;0
bellocarb tablet;1
carbellon tablet;0
neutradonna tablet;0
biogastrone 50mg tablet;1
duogastrone 50mg tablet;0
rabro tablet;0
vi-siblin 66% granules;0
cellucon 500mg tablet;0
cologel 900mg/10ml mixture;1
alvercol granules 500g;0
dulcodos tablet;2
ceratonia;2
arobon 80% powder;0
chalk;1
aromatic chalk + opium mixture;1
flar capsule;0
fybranta 2g tablet;1
lejfibre 10g biscuits;1
trifyba 250g powder;1
dioctyl 100mg tablet;36
fig;0
senokot 7.5mg tablet;235
paraffin liquid+phenolphthalein suspension;0
phenolphthalein 125mg tablet;0
rhubarb compound mixture;0
rhubarb+soda ammoniated mixture;0
agarol mixture;0
alophen pill;1
kest tablet;0
opobyl pill;0
bismuth subgallate compound suppository bp;1
hamamelis 200mg suppository;1
hamamelis + zinc oxide suppository;0
alcos anal ointment;0
bismodyne ointment;1
lasonil ointment 14g;0
x-prep 1mg/ml liquid;0
laxoberal 5mg/5ml elixir;7
beojex 1.72g suppository;0
cortenema 100mg/60ml enema;0
anacal ointment;4
cotazym capsule;0
anacal suppository;4
betnovate compound suppository;2
chenocedon 250mg capsule;0
dehydrocholic acid;2
acidol-pepsin tablet;16
centyl 2.5mg tablet;0
urizide 5mg tablet;0
enduron 5mg tablet;0
aluzine 20mg tablet;0
brinaldix k tablet;1
esidrex k tablet;0
hygroton k tablet combination pack;0
navidrex-k tablet;0
diuresal 40mg tablet;0
frusetic 40mg tablet;0
frumax 40mg tablet;1
diatensec 50mg tablet;0
laractone 25mg tablet;0
normetic tablet;0
synuretic tablet;0
hypertane-50 tablet;0
vasetic co-amilozide 5/50mg tablet;0
slow-pren 160mg m/r tablet;0
paritane 20mg tablet;2
betadren 5mg tablet;0
spiroprop tablet;0
metoros 95mg tablet;0
quinidine;32
kiditard 250mg m/r capsule;0
quinicardine 200mg tablet;0
bedranol 10mg tablet;65
laracor 20mg tablet;0
reserpine 100micrograms tablet;0
decaserpyl 5mg tablet;1
hypercal 2mg tablet;0
rauwiloid 2mg tablet;0
serpasil 100micrograms tablet;0
abicol tablet;0
hypercal-b tablet;0
seominal tablet;0
natirose tablet;0
isoket 10mg tablet;3
rautrax tablet;0
serpasil-esidrex tablet;0
esbatal 10mg tablet;0
acezide 50mg tablets x56;0
capozide 50mg tablets x28;3
vascardin 10mg tablet;1
cardiacap 30mg m/r capsule;1
calcicard 60mg tablet;19
cyclandelate;0
cyclobral 400mg capsule;0
cyclospasmol 400mg tablet;1
defencin cp 40mg m/r capsule;0
duvadilan 20mg tablet;0
lidoflazine;2
clinium 120mg tablet;1
