Chr Gene nSNPs nSims Start Stop Test Pvalue Best-SNP SNP-pvalue
"1" "ABCD3" 287 1e+05 94883932 94984219 644.412078000242 0.004679953200468 "rs1023058" 0.00189771
"1" "ABL2" 518 1000 179068461 179198819 747.297385807448 0.102897102897103 "rs564091234" 0.000211208000000005
"1" "ACKR1" 22 1e+05 159173802 159176290 34.2114216245073 0.0808691913080869 "rs200907215" 0.00321573
"1" "ACOT11" 544 1e+05 55013806 55100417 770.587360178308 0.0817691823081769 "rs186910330" 0.00574381000000003
"1" "ACOT7" 767 1000 6324331 6453826 930.661394403801 0.165834165834166 "rs182020913" 4.75697000000012e-05
"1" "ADAM15" 47 1000 155023747 155035252 59.9456732815134 0.147852147852148 "rs145815601" 0.00185157
"1" "ADAMTSL4" 51 1e+06 150521844 150533412 200.788567156497 7.999992000008e-06 "rs34431868" 1.74177e-05
"1" "ADAR" 157 1e+05 154554533 154600456 262.638846941943 0.0718792812071879 "rs73001420" 0.00593185000000001
"1" "ADIPOR1" 91 1000 202909952 202927700 47.6429874987748 0.854145854145854 "rs530759857" 0.0260051999999998
"1" "ADORA3" 427 1e+06 112025969 112106597 1444.82979348679 1.5999984000016e-05 "rs11590273" 4.63255000000003e-08
"1" "AGL" 387 1000 100315639 100389579 548.444901863099 0.124875124875125 "rs185911921" 0.00396213999999999
"1" "AHCYL1" 123 1e+06 110527386 110566364 515.544001141148 4.999995000005e-05 "rs118076104" 0.000186247000000001
"1" "AJAP1" 940 1e+05 4715104 4843851 1155.24995338148 0.0860791392086079 "rs183909943" 0.00228197
"1" "AK2" 105 1000 33473540 33502512 96.3544331244357 0.385614385614386 "rs200179721" 0.0186019999999999
"1" "AK4" 366 1000 65613231 65697828 336.122243946317 0.42957042957043 "rs145800803" 0.000934500999999998
"1" "AK5" 1553 1e+05 77747661 78025654 2714.11724111026 0.00627993720062799 "rs553978115" 0.000454045999999998
"1" "AKNAD1" 284 1000 109358519 109400864 399.262995215552 0.111888111888112 "rs75375572" 0.00343035999999999
"1" "AKT3" 1247 1000 243651534 244006886 1160.2800674662 0.373626373626374 "rs182877240" 0.00137245999999999
"1" "ALDH4A1" 235 1000 19197923 19229293 194.493168308303 0.577422577422577 "rs146156372" 0.00514671
"1" "AMPD2" 48 1e+06 110162434 110174677 147.790747134048 0.000847999152000848 "rs12046107" 0.000164070000000003
"1" "ANP32E" 41 1e+06 150190716 150208504 179.919308542977 0.000526999473000527 "rs58395667" 1.00081e-05
"1" "AP4B1" 30 1e+06 114437370 114447741 162.160421913901 6.999993000007e-06 "rs189306022" 4.1145300000001e-10
"1" "APITD1" 71 1e+06 10490158 10502872 393.037059112372 0.000156999843000157 "rs183950538" 3.8233999999999e-05
"1" "APITD1-CORT" 104 1e+06 10490158 10512060 607.482545191338 3.5999964000036e-05 "rs8192489" 1.58168999999999e-06
"1" "ARF1" 86 1e+06 228270360 228286913 533.487161284644 9.99999000001e-07 "rs10916265" 1.62547000000002e-09
"1" "ARHGEF10L" 837 1000 17866329 18024370 984.056906859841 0.138861138861139 "rs540590342" 0.000455953000000002
"1" "ARHGEF2" 94 1e+05 155916629 155948336 191.976004089502 0.012049879501205 "rs571105136" 0.00261078
"1" "ARID4B" 658 1000 235330209 235491532 648.348099156781 0.325674325674326 "rs549762880" 0.00367731
"1" "ASTN1" 1266 1e+05 176826440 177134040 2457.96792602231 0.001659983400166 "rs61813272" 0.000315101000000003
"1" "ATAD3A" 211 1e+05 1447522 1470067 435.739374404561 0.004719952800472 "rs45518337" 9.68992000000012e-05
"1" "ATF3" 296 1e+05 212738675 212794119 463.051697957347 0.0511894881051189 "rs573702666" 0.000532978999999996
"1" "ATP1A1" 119 1e+05 116915794 116947396 192.279858334048 0.0708192918070819 "rs74897411" 0.000240331000000001
"1" "ATP1A1-AS1" 98 1e+05 116935486 116961244 139.702093749783 0.109308906910931 "rs537894127" 0.000243215000000005
"1" "ATP1A4" 242 1e+05 160121351 160156767 462.705745559954 0.00488995110048899 "rs188357830" 0.000166414000000004
"1" "ATP8B2" 101 1000 154298035 154323780 106.070857029462 0.272727272727273 "rs139717122" 0.00267245000000001
"1" "ATPAF1" 183 1e+06 47100710 47134099 731.02662147036 0.00112399887600112 "rs12047537" 0.000615785999999999
"1" "AUNIP" 114 1e+05 26158403 26185949 200.499040853871 0.0834591654083459 "rs183977848" 0.00591889000000003
"1" "AURKAIP1" 12 1e+05 1309109 1310818 43.6487751005727 0.001019989800102 "rs139833628" 0.000637720000000008
"1" "B3GALNT2" 254 1000 235610504 235667781 186.917375966055 0.613386613386613 "rs566647472" 0.0168838
"1" "B4GALT2" 43 1000 44444873 44456843 51.1335020907511 0.165834165834166 "rs2231283" 0.0142108000000001
"1" "BCAN" 70 1e+05 156611739 156629324 100.946402197102 0.0600893991060089 "rs149541919" 0.000397576000000009
"1" "BCAR3" 1362 1000 94027342 94312706 1525.2456496056 0.23976023976024 "rs189544365" 0.000103709999999998
"1" "BRDT" 351 1e+06 92414927 92479985 1727.88793045752 5.0999949000051e-05 "rs4658123" 0.000239347999999996
"1" "BROX" 73 1000 222885894 222908538 72.7390801269625 0.26973026973027 "rs77584688" 0.00880562
"1" "C1orf106" 111 1e+05 200860626 200884864 196.989224818593 0.032129678703213 "rs78710594" 3.87167999999995e-05
"1" "C1orf145" 53 1e+06 228391206 228401365 396.049819168211 9.99999000001e-07 "rs11799681" 1.36628000000001e-08
"1" "C1orf195" 42 1000 15490691 15498120 40.3361717862804 0.386613386613387 "rs144893500" 0.0333135000000002
"1" "C1orf198" 190 1e+06 230972864 231005335 563.847864053568 0.000393999606000394 "rs1202551" 0.000316199000000008
"1" "C1orf198" 190 1e+06 230972864 231005335 563.847864053568 0.000363999636000364 "rs1202551" 0.000316199000000008
"1" "C1orf210" 9 1e+06 43747556 43751288 48.1501295634488 2.7999972000028e-05 "rs140687647" 0.00196571000000001
"1" "C1orf210" 9 1e+06 43747556 43751288 48.1501295634488 2.999997000003e-05 "rs140687647" 0.00196571000000001
"1" "C1orf213" 5 1e+05 23695463 23698330 13.1851656757874 0.027829721702783 "rs638722" 0.0184463000000001
"1" "C1orf226" 43 1e+05 162348695 162356608 78.6912548445025 0.048989510104899 "rs12407972" 0.00190831
"1" "C1orf86" 125 1e+06 2115898 2144159 315.146196719769 0.000527999472000528 "rs74817143" 0.000107332
"1" "C1orf94" 324 1000 34632483 34684731 259.483692725425 0.599400599400599 "rs116515091" 0.0131426
"1" "C4BPB" 45 1e+05 207262211 207273337 111.262186955926 0.0029999700003 "rs530168620" 0.000240496999999996
"1" "CA6" 193 1e+05 9005892 9035148 269.354416615736 0.0878891211087889 "rs182721205" 0.00269948000000001
"1" "CACYBP" 39 1e+06 174968570 174981163 114.561085027582 0.000620999379000621 "rs7550448" 1.00322999999999e-05
"1" "CACYBP" 39 1e+06 174968570 174981163 114.561085027582 0.000562999437000563 "rs7550448" 1.00322999999999e-05
"1" "CADM3" 155 1000 159141376 159172932 187.780284846826 0.123876123876124 "rs566707587" 0.00238342
"1" "CAPN2" 388 1000 223889294 223963720 519.367869860405 0.140859140859141 "rs145228300" 0.00177048
"1" "CAPN9" 348 1e+06 230883129 230937749 1566.3440070892 1.6999983000017e-05 "rs2297831" 1.81363999999997e-05
"1" "CAPZB" 916 1e+05 19665266 19812135 1322.51493106024 0.0888191118088819 "rs186471775" 0.000296851999999994
"1" "CASP9" 205 1e+05 15817895 15851285 538.43975868657 0.021079789202108 "rs181998167" 0.00148933
"1" "CCNL2" 71 1e+06 1321090 1334718 256.726186738141 3.4999965000035e-05 "rs544534576" 1.14594000000002e-05
"1" "CD48" 223 1000 160648535 160681641 157.85487187885 0.691308691308691 "rs34297043" 0.0132166
"1" "CD53" 137 1e+05 111413820 111442558 298.18692394333 0.027939720602794 "rs149678984" 2.62385999999994e-05
"1" "CD58" 157 1000 117057155 117113715 182.708107262201 0.137862137862138 "rs7534533" 0.00116549000000003
"1" "CDC14A" 583 1000 100818022 100985833 746.714951381435 0.13986013986014 "rs185037497" 0.00307517999999999
