Chr Gene nSNPs nSims Start Stop Test Pvalue Best-SNP SNP-pvalue
"1" "ABCD3" 286 1000 94883932 94984219 298.893817531861 0.24975024975025 "rs142998757" 0.00444611000000001
"1" "ABL2" 516 1000 179068461 179198819 302.564767935492 0.897102897102897 "rs554000994" 0.00457931000000001
"1" "ACKR1" 22 1000 159173802 159176290 29.2250627433575 0.164835164835165 "rs17851570" 0.0101576
"1" "ACOT11" 543 1000 55013806 55100417 411.098217618765 0.697302697302697 "rs1084150" 0.00366277000000001
"1" "ACOT7" 763 1000 6324331 6453826 497.0487932323 0.802197802197802 "rs115915823" 0.00315457000000001
"1" "ADAM15" 47 1000 155023747 155035252 45.4971754771702 0.373626373626374 "rs11589479" 0.00785072999999996
"1" "ADAMTSL4" 50 1000 150521844 150533412 60.479641794655 0.110889110889111 "rs41317517" 0.0155099000000001
"1" "ADAR" 157 1000 154554533 154600456 90.5864755889764 0.777222777222777 "rs202035554" 0.00226778
"1" "ADIPOR1" 91 1000 202909952 202927700 104.922417695817 0.221778221778222 "rs113380422" 0.0141798
"1" "ADORA3" 427 1e+05 112025969 112106597 686.776277962035 0.036079639203608 "rs6680231" 0.000127078000000003
"1" "AGL" 385 1000 100315639 100389579 406.400330109399 0.27972027972028 "rs190328362" 0.00573679999999997
"1" "AHCYL1" 122 1000 110527386 110566364 84.7428745533043 0.734265734265734 "rs17611282" 0.0206500000000001
"1" "AJAP1" 938 1e+05 4715104 4843851 1309.77481209114 0.029919700802992 "rs989309" 8.9678799999999e-05
"1" "AK2" 105 1000 33473540 33502512 112.351006302955 0.240759240759241 "rs41265879" 0.00363379000000001
"1" "AK4" 366 1000 65613231 65697828 299.929753309927 0.582417582417582 "rs185784977" 0.00761886
"1" "AK5" 1546 1000 77747661 78025654 1330.3780324021 0.614385614385614 "rs12031867" 0.000256313000000002
"1" "AKNAD1" 283 1000 109358519 109400864 198.828835782486 0.755244755244755 "rs542123236" 0.00638630999999999
"1" "AKT3" 1236 1000 243651534 244006886 1091.82173842711 0.477522477522478 "rs188678445" 0.00607645000000002
"1" "ALDH4A1" 232 1000 19197923 19229293 254.00034029751 0.265734265734266 "rs28441017" 0.00229361
"1" "AMPD2" 48 1000 110162434 110174677 28.2356548153636 0.802197802197802 "rs6669802" 0.0296906999999999
"1" "ANP32E" 41 1e+05 150190716 150208504 76.248555965624 0.0592994070059299 "rs113613310" 0.00835564999999995
"1" "AP4B1" 30 1e+05 114437370 114447741 89.7851974357427 0.001119988800112 "rs189306022" 3.44739000000001e-06
"1" "APITD1" 71 1e+05 10490158 10502872 180.758910824184 0.019889801101989 "rs33919161" 0.0107186000000001
"1" "APITD1-CORT" 104 1e+05 10490158 10512060 291.129821969136 0.00804991950080499 "rs535807120" 0.00228665
"1" "ARF1" 86 1e+05 228270360 228286913 108.027428866809 0.025179748202518 "rs567589483" 0.0105315
"1" "ARHGEF10L" 836 1000 17866329 18024370 528.106034390458 0.923076923076923 "rs191264392" 0.000343264999999994
"1" "ARHGEF2" 92 1e+05 155916629 155948336 128.359650113001 0.0821391786082139 "rs61751626" 0.000582599000000014
"1" "ARID4B" 655 1000 235330209 235491532 531.8046647525 0.474525474525474 "rs189121240" 0.00626729000000004
"1" "ASTN1" 1240 1e+05 176826440 177134040 1799.916148355 0.02819971800282 "rs546297865" 0.00109943999999999
"1" "ATAD3A" 209 1e+05 1447522 1470067 382.621827289816 0.010929890701093 "rs2801369" 0.00466852999999998
"1" "ATF3" 295 1000 212738675 212794119 226.278749702756 0.717282717282717 "rs538588708" 0.0232900000000001
"1" "ATP1A1" 119 1000 116915794 116947396 134.472764511866 0.213786213786214 "rs183299174" 0.00201753
"1" "ATP1A1-AS1" 97 1000 116935486 116961244 87.9801280678737 0.355644355644356 "rs371620765" 0.0211421999999999
"1" "ATP1A4" 241 1000 160121351 160156767 235.321918808271 0.387612387612388 "rs147697970" 0.00384086999999999
"1" "ATP8B2" 101 1000 154298035 154323780 62.1287386112942 0.724275724275724 "rs61808683" 0.0569679000000001
"1" "ATPAF1" 183 1e+05 47100710 47134099 542.162772656777 0.00693993060069399 "rs535292996" 0.000599584000000016
"1" "AUNIP" 114 1000 26158403 26185949 154.732303911657 0.134865134865135 "rs544111270" 0.00128738999999998
"1" "AURKAIP1" 12 1000 1309109 1310818 18.9653068735808 0.123876123876124 "rs2765035" 0.0545405999999999
"1" "AXDND1" 1506 1000 179334854 179523870 841.266571141497 0.822177822177822 "rs191062949" 0.0101258
"1" "B3GALNT2" 254 1000 235610504 235667781 293.2960631769 0.203796203796204 "rs12563639" 0.00264156
"1" "B4GALT2" 43 1000 44444873 44456843 47.2190897366751 0.211788211788212 "rs1061781" 0.022077
"1" "BCAN" 70 1000 156611739 156629324 69.4949516080658 0.302697302697303 "rs569555891" 0.031148
"1" "BCAR3" 1361 1000 94027342 94312706 1601.9700754472 0.207792207792208 "rs5776186" 7.09153000000006e-06
"1" "BRDT" 351 1e+05 92414927 92479985 660.642470719673 0.0409995900041 "rs186756119" 0.00152391000000004
"1" "BROX" 73 1000 222885894 222908538 76.1343312376669 0.242757242757243 "rs143706441" 0.000776712000000017
"1" "C1orf106" 111 1000 200860626 200884864 123.145903934522 0.25974025974026 "rs75506719" 0.00614595999999999
"1" "C1orf145" 53 1e+05 228391206 228401365 86.6595159623376 0.0756792432075679 "rs12024649" 0.026633
"1" "C1orf195" 42 1000 15490691 15498120 55.4665418845216 0.152847152847153 "rs181399782" 0.0341909000000001
"1" "C1orf198" 190 1000 230972864 231005335 241.783174420595 0.147852147852148 "rs147747553" 0.00396406000000001
"1" "C1orf210" 9 1e+05 43747556 43751288 20.464791429011 0.01979980200198 "rs140687647" 0.00688604999999999
"1" "C1orf213" 4 1000 23695463 23698330 2.08904803377775 0.704295704295704 "rs665977" 0.293511000000001
"1" "C1orf226" 43 1000 162348695 162356608 52.828251980764 0.18981018981019 "rs61808552" 0.0372109000000003
"1" "C1orf86" 125 1000 2115898 2144159 111.676796994261 0.315684315684316 "rs41315340" 0.00779255999999998
"1" "C1orf94" 322 1000 34632483 34684731 207.675356450019 0.86013986013986 "rs114587313" 0.00503895000000002
"1" "C4BPB" 45 1000 207262211 207273337 41.4657128993545 0.412587412587413 "rs551205081" 0.0527897999999998
"1" "CA6" 193 1000 9005892 9035148 247.799030648423 0.134865134865135 "rs10864374" 0.00316453999999999
"1" "CACYBP" 39 1e+05 174968570 174981163 64.2760929262373 0.040959590404096 "rs547886766" 0.00391533999999999
"1" "CADM3" 154 1000 159141376 159172932 184.974055819013 0.124875124875125 "rs183924439" 0.00162054000000001
"1" "CAMTA1" 4907 1000 6845383 7829766 4665.3979805623 0.406593406593407 "rs552323435" 0.00118037000000001
"1" "CAPN2" 388 1000 223889294 223963720 276.755271501777 0.662337662337662 "rs16842174" 0.00626526999999999
"1" "CAPN9" 348 1000 230883129 230937749 437.287774031638 0.137862137862138 "rs114080646" 0.00283243999999998
"1" "CAPZB" 914 1e+05 19665266 19812135 1622.11951682172 0.031139688603114 "rs182158576" 0.0018957
"1" "CASP9" 205 1000 15817895 15851285 193.098989508261 0.374625374625375 "rs145118493" 0.00343858999999999
"1" "CASZ1" 911 1e+06 10696665 10856733 3175.83081964213 9.99999000001e-07 "rs880315" 3.88686999999996e-20
"1" "CCNL2" 71 1e+05 1321090 1334718 106.084305141407 0.046049539504605 "rs576786587" 0.0302803000000001
"1" "CD48" 223 1000 160648535 160681641 190.24490559437 0.493506493506494 "rs79602253" 0.00284394
"1" "CD53" 137 1000 111413820 111442558 186.020949392376 0.14985014985015 "rs2131874" 0.00147894
"1" "CD58" 157 1000 117057155 117113715 192.679382440279 0.12987012987013 "rs188999391" 0.00150734000000002
"1" "CDC14A" 583 1000 100818022 100985833 764.263986935178 0.130869130869131 "rs185938611" 0.00201451
"1" "CDC42" 166 1e+05 22379119 22419436 249.158007414331 0.0891591084089159 "rs17837947" 0.00734362000000001
"1" "CDC7" 87 1000 91966403 91991321 108.683881177869 0.16983016983017 "rs76254610" 0.00707978
"1" "CDKN2C" 21 1000 51434366 51440309 31.3336124406102 0.11988011988012 "rs76136361" 0.00231690999999999
"1" "CELF3" 55 1000 151672533 151689296 29.1607826620642 0.847152847152847 "rs191437156" 0.0231068
"1" "CENPL" 71 1000 173768687 173793777 80.361060500255 0.134865134865135 "rs9425748" 0.00756048999999998
"1" "CEP85" 204 1000 26560643 26605529 254.448360497829 0.213786213786214 "rs189997659" 0.0514967999999997
"1" "CEPT1" 164 1000 111682248 111727724 184.657302977794 0.227772227772228 "rs143480888" 0.0125852
"1" "CFH" 452 1000 196621007 196716634 569.747739760319 0.177822177822178 "rs181076463" 0.0165531
"1" "CHI3L2" 115 1000 111770280 111786062 153.331843655933 0.161838161838162 "rs12134920" 0.010855
"1" "CLCC1" 185 1000 109472129 109506121 122.984963478165 0.778221778221778 "rs181657850" 0.0180114999999999
"1" "CLCNKB" 164 1e+05 16370230 16383821 419.080865006607 0.014909850901491 "rs77508204" 0.000756032000000002
"1" "CMPK1" 208 1e+05 47799468 47844511 380.964866634233 0.051609483905161 "rs563662258" 0.00612378999999999
"1" "CNIH4" 74 1000 224544512 224567153 74.3344477092193 0.291708291708292 "rs112243657" 0.0183168000000001
"1" "CNKSR1" 47 1000 26503980 26516375 48.1295609419965 0.298701298701299 "rs146974008" 0.0161477
"1" "CNN3" 193 1e+05 95362504 95392779 317.270356610038 0.029149708502915 "rs147873600" 0.000671397999999989
"1" "CNST" 591 1000 246729638 246831884 557.774646888178 0.346653346653347 "rs79904005" 0.00453754
"1" "COA6" 69 1000 234509213 234519795 78.8163767459633 0.243756243756244 "rs61824515" 0.0103650000000001
"1" "CRABP2" 28 1e+05 156669399 156675608 57.8818401287112 0.010769892301077 "rs4387174" 0.00332353
"1" "CRB1" 900 1e+05 197170591 197447585 1375.87060420936 0.020179798202018 "rs67224064" 0.00182268
"1" "CREB3L4" 19 1000 153940314 153946840 13.2806399438786 0.694305694305694 "rs41265209" 0.0466090000000001
"1" "CSF1" 84 1000 110453232 110473616 69.8014565358379 0.563436563436563 "rs530698191" 0.0381883
"1" "CSMD2" 3254 1000 33979598 34631443 3500.9238419132 0.155844155844156 "rs7536948" 0.00209185
"1" "CSRP1" 141 1e+05 201452657 201476387 262.96374277876 0.037869621303787 "rs538282084" 0.000493457999999989
"1" "CYB561D1" 30 1000 110036657 110043063 20.6350175325483 0.744255744255744 "rs76997102" 0.0535426999999999
"1" "DAB1-AS1" 7 1000 58326214 58328786 11.6170519536258 0.14985014985015 "rs150942658" 0.00140597999999999
"1" "DAP3" 153 1e+05 155658881 155708800 227.740257200775 0.047509524904751 "rs184582718" 3.53395000000002e-05
"1" "DCAF8" 131 1000 160185504 160232350 145.720904207504 0.171828171828172 "rs116384115" 0.000430526999999988
"1" "DDAH1" 1260 1000 85784167 86044046 1254.35335542931 0.330669330669331 "rs182379148" 0.000494401999999992
"1" "DEDD" 30 1000 161090768 161102478 30.6365923197472 0.277722277722278 "rs573298997" 0.00374395
"1" "DENND1B" 741 1e+05 197473878 197744623 1452.63848502144 0.016569834301657 "rs147443378" 0.000592610999999991
"1" "DENND2D" 84 1000 111728590 111747160 113.443076302612 0.112887112887113 "rs144765599" 0.000118113999999997
"1" "DISC1" 1958 1000 231762560 232177019 1860.0193724373 0.3996003996004 "rs12118639" 0.00100382999999998
"1" "DNAH14" 2346 1000 225117355 225586996 2193.59782400309 0.391608391608392 "rs76095786" 0.000226850999999994
"1" "DNAJC6" 672 1000 65730376 65881552 680.451900688522 0.305694305694306 "rs560614330" 0.0101298
"1" "DNASE2B" 97 1000 84864214 84880691 83.984397543665 0.466533466533467 "rs571881111" 0.00341963999999999
"1" "DNM3" 2402 1e+05 171810617 172381857 3283.86290980226 0.047569524304757 "rs191838706" 4.64718999999999e-05
"1" "DOCK7" 715 1000 62920396 63154039 619.605696980074 0.417582417582418 "rs189300099" 2.72289000000003e-05
"1" "DPYD" 3997 1000 97543299 98386615 3536.30019686931 0.555444555444555 "rs199677317" 0.000523661000000005
"1" "DUSP10" 176 1000 221874761 221915518 206.522880042299 0.217782217782218 "rs137863752" 0.0143328
"1" "EBNA1BP2" 42 1000 43629844 43638241 16.2230403760836 0.886113886113886 "rs147648867" 0.0602573000000003
"1" "ECE1" 666 1000 21543739 21672034 620.094474286578 0.376623376623377 "rs573740179" 0.0053454
"1" "EDARADD" 587 1000 236557679 236648008 533.699514504128 0.441558441558442 "rs570663587" 0.00203512
"1" "EFCAB2" 744 1000 245133170 245288530 749.616196888263 0.317682317682318 "rs186910116" 0.00406275
"1" "EIF2B3" 644 1000 45316193 45452394 577.003615014463 0.438561438561439 "rs78351334" 0.00280698
"1" "EIF4G3" 1358 1000 21132784 21503381 1604.5322003088 0.186813186813187 "rs72652970" 0.000109931
"1" "ELAVL4" 444 1e+05 50513685 50667540 647.070808246145 0.027319726802732 "rs112678184" 0.000960462000000012
"1" "ELK4" 90 1000 205577070 205602000 55.4106334144719 0.783216783216783 "rs181630769" 0.0252505
"1" "ELOVL1" 9 1000 43829067 43833745 7.51712935275878 0.57042957042957 "rs75531338" 0.115936000000001
"1" "ENO1" 62 1000 8921058 8939151 36.4342941269943 0.747252747252747 "rs12142493" 0.0508862000000001
