Chr,Gene,nSNPs,nSims,Start,Stop,Test,Pvalue,Best-SNP,SNP-pvalue
1,CASZ1,911,1e+06,10696665,10856733,3175.83081964213,9.99999000001e-07,rs880315,3.88686999999996e-20
1,MOV10,116,1e+06,113216933,113243368,1207.68370401146,9.99999000001e-07,rs12129649,4.86406999999996e-21
1,RHOC,34,1e+06,113243748,113250025,253.964440432645,9.99999000001e-07,rs2279499,2.84184000005629e-13
1,ST7L,405,1e+06,113066140,113162040,5391.56776877979,9.99999000001e-07,rs200285205,5.73719999999892e-25
1,WNT2B,243,1e+06,113009162,113063910,3616.98673705631,9.99999000001e-07,rs10776752,6.51778000000163e-25
1,C1orf167,205,1e+06,11822249,11849642,2001.65957969672,9.99999000001e-07,rs9727993,3.99494000000002e-08
1,CAPZA1,173,1e+06,113162074,113214241,1844.00515323662,9.99999000001e-07,rs12025785,2.79640000000005e-21
1,CLCN6,269,1e+06,11866152,11903201,2934.3866831025,9.99999000001e-07,rs55892892,6.65810000000007e-09
1,MTHFR,115,1e+06,11845786,11866160,1113.89786817402,9.99999000001e-07,rs3753584,5.09284000000003e-08
1,PEX14,670,1e+06,10535002,10690815,3596.25316493959,9.99999000001e-07,rs1411402,3.19661000000005e-08
1,PPM1J,26,1e+06,113252615,113257950,139.664025164591,9.99999000001e-07,rs7522283,2.08785000000497e-13
2,KCNK3,146,1e+06,26915580,26954066,1866.20880299422,9.99999000001e-07,rs12476527,1.0617e-18
3,SLC4A7,571,1e+06,27414211,27525911,5815.37504971114,9.99999000001e-07,rs7624512,1.13841000000002e-17
3,NEK10,837,1e+06,27257096,27410912,7778.68994600863,9.99999000001e-07,rs11707188,1.95930000665357e-14
5,FBN2,1162,1e+06,127593600,127873735,6356.95895178357,9.99999000001e-07,rs4385259,1.34809000000002e-10
6,CRIP3,7,1e+06,43273210,43276530,74.3482029768938,9.99999000001e-07,rs12193537,1.52128000000002e-07
6,SLC22A7,23,1e+06,43265997,43273276,117.259302791965,9.99999000001e-07,rs2270860,1.22101000000003e-08
7,HOTTIP,36,1e+06,27240039,27246878,885.310394708829,9.99999000001e-07,rs1859168,2.3621100000001e-25
7,HOXA11,22,1e+06,27220775,27224835,155.757822853059,9.99999000001e-07,rs6461992,1.46893001281244e-14
7,HOXA11-AS,18,1e+06,27225026,27228912,154.928096489973,9.99999000001e-07,rs2285724,6.31539000000034e-12
7,HOXA13,14,1e+06,27236498,27239725,304.12704151,9.99999000001e-07,rs2071265,4.99804000000071e-24
8,CYP11B1,69,1e+06,143953772,143961236,669.793667834873,9.99999000001e-07,rs5283,1.51273000000004e-08
8,CYP11B2,71,1e+06,143991974,143999259,809.047015106765,9.99999000001e-07,rs28491316,4.21434000000009e-09
8,LOC100133669,197,1e+06,144063447,144099807,1379.19801740339,9.99999000001e-07,rs61276460,1.25072e-09
10,COL17A1,229,1e+06,105791045,105845638,1220.04267860609,9.99999000001e-07,rs805707,3.38205000000008e-07
11,LSP1,262,1e+06,1874199,1913493,3482.95005204216,9.99999000001e-07,rs612652,2.02023000000001e-18
11,AP5B1,21,1e+06,65541368,65548062,169.11596512953,9.99999000001e-07,rs489574,1.04904000000002e-08
11,OVOL1,54,1e+06,65554504,65564690,310.810147247762,9.99999000001e-07,rs4930319,1.39959000000002e-07
11,TMEM133,14,1e+06,100862810,100864666,157.744207481763,9.99999000001e-07,rs17654386,6.06583000000006e-07
11,TNNT3,122,1e+06,1940798,1959936,1117.79564794313,9.99999000001e-07,rs735955,3.07822000000005e-16
19,APOC1,18,1e+06,45417920,45422606,154.48741352113,9.99999000001e-07,rs12721051,2.03352999999999e-09
19,APOE,11,1e+06,45409038,45412650,140.340363182306,9.99999000001e-07,rs429358,1.66955001362542e-14
19,TOMM40,81,1e+06,45394476,45406946,556.143069646757,9.99999000001e-07,rs59007384,7.99834000000006e-11
