Chr,Gene,nSNPs,nSims,Start,Stop,Test,Pvalue,Best-SNP,SNP-pvalue
1,ARF1,86,1e+06,228270360,228286913,533.487161284644,9.99999000001e-07,rs10916265,1.62547000000002e-09
1,C1orf145,53,1e+06,228391206,228401365,396.049819168211,9.99999000001e-07,rs11799681,1.36628000000001e-08
1,GUK1,44,1e+06,228327784,228336655,210.930559130987,9.99999000001e-07,rs2313602,5.05917999999989e-09
1,KIAA0040,176,1e+06,175126122,175162229,1968.81615324895,9.99999000001e-07,rs10912903,1.46768e-10
1,LOC100505887,20,1e+06,6784804,6790072,197.280528836862,9.99999000001e-07,rs59553179,2.70190000000004e-08
1,MOV10,116,1e+06,113216933,113243368,1886.26179466398,9.99999000001e-07,rs12129649,2.11057000000011e-32
1,OBSCN,996,1e+06,228395830,228566575,5632.10574380857,9.99999000001e-07,rs3856331,4.83280999999997e-11
1,PIGV,23,1e+06,27114453,27124894,133.211508718371,9.99999000001e-07,rs35615194,4.82325000000006e-07
1,PMF1,145,1e+06,156182778,156209868,1065.0896394706,9.99999000001e-07,rs1543294,9.76337999999996e-09
1,RHOC,34,1e+06,113243748,113250025,382.012568486364,9.99999000001e-07,rs2279499,3.01577999999997e-17
1,SEMA4A,104,1e+06,156119734,156147542,515.499852004515,9.99999000001e-07,rs12128066,6.26368999999993e-08
1,SLC16A1,139,1e+06,113454469,113498975,1016.89846653598,9.99999000001e-07,rs55992320,2.94740999999994e-08
1,ST7L,406,1e+06,113066140,113162040,6468.89959027976,9.99999000001e-07,rs66505930,1.09421000000016e-42
1,THAP3,59,1e+06,6684924,6695646,457.438701038382,9.99999000001e-07,rs11892,2.43012999999999e-10
1,WNT2B,244,1e+06,113009162,113063910,8055.64949067908,9.99999000001e-07,rs10776752,4.40351999999989e-61
1,AGT,97,1e+06,230838271,230850336,1505.8551235274,9.99999000001e-07,rs5049,2.01280000000004e-20
1,AGTRAP,66,1e+06,11796141,11810828,526.653956884409,9.99999000001e-07,rs17875987,1.24940002479511e-14
1,ARID1A,268,1e+06,27022521,27108601,2386.11183015294,9.99999000001e-07,rs12729652,7.92319000000011e-11
1,C1orf167,205,1e+06,11822249,11849642,8633.62212695895,9.99999000001e-07,rs12561919,3.22849000000011e-39
1,C1orf54,24,1e+06,150245182,150253335,238.422911000056,9.99999000001e-07,rs113775984,6.54650999999986e-08
1,CAPZA1,174,1e+06,113162074,113214241,2059.57610170129,9.99999000001e-07,rs12025785,5.6924599999993e-33
1,CIART,13,1e+06,150255228,150259501,126.474522829442,9.99999000001e-07,rs942453,1.09255000000001e-07
1,CLCN6,269,1e+06,11866152,11903201,16741.7736011811,9.99999000001e-07,rs12567136,5.19996000000061e-44
1,CLIC4,262,1e+06,25071759,25170815,1960.17383434771,9.99999000001e-07,rs6668768,6.18828000000014e-09
1,COG2,271,1e+06,230778201,230829731,1998.97762369767,9.99999000001e-07,rs60352970,2.32006000000006e-16
1,DFFA,72,1e+06,10520602,10532613,369.708251237926,9.99999000001e-07,rs1188529,3.50590000000006e-07
1,DNAJC11,283,1e+06,6694227,6761966,1995.18732577834,9.99999000001e-07,rs11892,2.43012999999999e-10
1,DRAXIN,152,1e+06,11751780,11780336,873.943044070098,9.99999000001e-07,rs188338933,5.93472000000005e-12
1,GABPB2,229,1e+06,151043079,151091007,1363.24711457211,9.99999000001e-07,rs6704195,7.39503000000002e-08
1,GPN2,35,1e+06,27205872,27216869,391.663948037767,9.99999000001e-07,rs74465889,3.35034999999993e-10
1,HYI,14,1e+06,43916673,43919660,101.824019932613,9.99999000001e-07,rs2251802,1.47604999999997e-06
1,JTB,4,1e+06,153946744,153950451,31.5983551827359,9.99999000001e-07,rs11264763,7.73446000000015e-05
1,KCND3,1104,1e+06,112318453,112531777,3612.80140559252,9.99999000001e-07,rs509705,3.72597999999997e-08
1,KDF1,31,1e+06,27276046,27286901,211.885162136399,9.99999000001e-07,rs79598313,1.10348999999999e-06
1,KIAA2013,37,1e+06,11979644,11986485,230.297169168308,9.99999000001e-07,rs143439093,1.29122000000021e-31
1,KLHL21,70,1e+06,6650783,6662929,464.788781051287,9.99999000001e-07,rs2232460,1.91263000000002e-10
1,LOC100996702,145,1e+06,113362790,113393265,1558.61007749466,9.99999000001e-07,rs79004809,3.48097e-17
1,LOC101927891,699,1e+06,89003195,89150887,3691.55987180158,9.99999000001e-07,rs10922477,7.52991000000007e-10
1,MIR3620,1,1e+06,228284963,228285042,30.8540846896274,9.99999000001e-07,rs2070960,2.78176000000002e-08
1,MIR7851_1,497,1e+06,155996957,156132001,2342.23249189736,9.99999000001e-07,rs74593044,1.56787000000002e-09
1,MKNK1-AS1,211,1e+06,47004367,47035927,838.685947945639,9.99999000001e-07,rs2486166,2.30314000000003e-06
1,MTHFR,115,1e+06,11845786,11866160,5973.09381502935,9.99999000001e-07,rs13306561,7.54570999999978e-44
1,NPHS2,152,1e+06,179519673,179545084,1088.31280369632,9.99999000001e-07,rs1410592,2.26313000000002e-07
1,NPPA,21,1e+06,11905766,11907840,609.927351071793,9.99999000001e-07,rs5068,7.61903999999884e-41
1,NPPA-AS1,59,1e+06,11900375,11907673,1287.12986403748,9.99999000001e-07,rs5068,7.61903999999884e-41
1,NR0B2,12,1e+06,27237974,27240567,81.3008265337864,9.99999000001e-07,rs6659176,5.79762e-06
1,NUDC,86,1e+06,27248212,27273362,511.329023169389,9.99999000001e-07,rs10493037,1.39300000000004e-10
1,PEX14,670,1e+06,10535002,10690815,7019.0333284103,9.99999000001e-07,rs2506892,8.35411000000555e-13
1,PHF13,40,1e+06,6673755,6684093,442.61328438679,9.99999000001e-07,rs11122105,7.03234000000008e-11
1,PMF1-BGLAP,155,1e+06,156182778,156213123,1111.11004085015,9.99999000001e-07,rs12090516,8.92297999999984e-09
1,PPAP2B,414,1e+06,56960418,57045257,2161.05160132336,9.99999000001e-07,rs8016,5.37674999999991e-10
1,PPM1J,26,1e+06,113252615,113257950,165.327903147805,9.99999000001e-07,rs7522283,1.97106000000004e-16
1,PRDM16,2675,1e+06,2985741,3355185,8278.93852733282,9.99999000001e-07,rs3795261,1.44794000000002e-10
1,RLF,360,1e+06,40627040,40706593,1569.74670791134,9.99999000001e-07,rs11370671,4.26540000000011e-07
1,SLC16A1-AS1,22,1e+06,113499036,113506690,126.92497904898,9.99999000001e-07,rs369533746,6.27234999999988e-08
1,SPATA17,1138,1e+06,217804694,218040484,5026.90146803744,9.99999000001e-07,rs2377702,1.20217999999998e-06
1,SZT2,208,1e+06,43855555,43919918,1366.76359331576,9.99999000001e-07,rs34464308,2.75030000000005e-07
1,TARS2,94,1e+06,150459839,150480085,760.654192312074,9.99999000001e-07,rs112103825,1.27470999999998e-07
1,UBQLN4,58,1e+06,156005091,156023516,244.584508092087,9.99999000001e-07,rs74593044,1.56787000000002e-09
1,WASF2,334,1e+06,27730733,27816678,2888.69394372891,9.99999000001e-07,rs2504776,3.57889999999996e-09
1,WNT3A,229,1e+06,228194722,228248972,2350.73520302435,9.99999000001e-07,rs1745414,4.65908000405486e-14
1,WNT9A,139,1e+06,228109164,228135676,1369.6484485258,9.99999000001e-07,rs1774755,1.73257000000001e-08
1,ZBTB48,28,1e+06,6640050,6649340,129.69315965808,9.99999000001e-07,rs6682920,1.11936e-09
1,ZDHHC18,103,1e+06,27153200,27182211,885.984201699248,9.99999000001e-07,rs34924059,2.22335999999997e-10
2,ANTXR1,1166,1e+06,69240275,69476459,3709.43525869879,9.99999000001e-07,rs60170685,5.23178999999988e-10
2,ATRAID,30,1e+06,27434898,27440046,310.730837475446,9.99999000001e-07,rs11608,2.34315000000006e-11
2,DNMT3A,381,1e+06,25455829,25565459,1546.94229176461,9.99999000001e-07,rs56197924,4.83570999999989e-10
2,DPYSL5,345,1e+06,27070968,27173219,4017.3723382252,9.99999000001e-07,rs6738528,1.31583000000001e-10
2,EIF2B4,21,1e+06,27587218,27593324,96.8595961489472,9.99999000001e-07,rs71441072,3.08574000000006e-08
2,PPP1R1C,822,1e+06,182818967,182996109,3559.33854282103,9.99999000001e-07,rs6760977,4.24884000000008e-08
2,UBE2E3,498,1e+06,181845111,181928154,7217.05095378968,9.99999000001e-07,rs4362519,1.47003999999998e-10
